name,url,source,image,price,rating,reviews_url
Apple,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo2MjQ0OTA4MzMwNzE0NjQ6MTc3Njg4NjU1MjpzcF9hdGY6MzAwMDU0MzQ1OTQ3NDMyOjowOjo&url=%2FApple-iPhone-15-128-GB%2Fdp%2FB0CHX2F5QT%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.juY6hD41eUov1TuU99StMpp7VWn5nt4WirUdpgI4iozy4Ow_MSBU0qHoC2-Gv_l7J0to3J83BsveqO3aHK8ZlBdPNred7eSYBe25X2JOBYV_ymI81ftJAyMOh7NcN9xk8SbEfQFem4kTDeY2550Pz4lbRTdVCNJXf31yVtQYlHBZh0wGLt839_IlhX8kROyOQBwLDaobjDkXHG_r6p9_gJe9-649fJWK0dM8sMpP7nA.CuCugs27SxZUmaicLPvenc3BLrGI9FuEhcjxjFNZtVw%26dib_tag%3Dse%26keywords%3Diphone%2B15%26qid%3D1776886552%26sr%3D8-1-spons%26aref%3DbW6uEpOBEL%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&aref=bW6uEpOBEL&sp_cr=ZAZ,Amazon,https://m.media-amazon.com/images/I/71d7rfSl0wL._SX679_.jpg,59900,3.0,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo2MjQ0OTA4MzMwNzE0NjQ6MTc3Njg4NjU1MjpzcF9hdGY6MzAwMDU0MzQ1OTQ3NDMyOjowOjo&url=%2FApple-iPhone-15-128-GB%2Fdp%2FB0CHX2F5QT%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.juY6hD41eUov1TuU99StMpp7VWn5nt4WirUdpgI4iozy4Ow_MSBU0qHoC2-Gv_l7J0to3J83BsveqO3aHK8ZlBdPNred7eSYBe25X2JOBYV_ymI81ftJAyMOh7NcN9xk8SbEfQFem4kTDeY2550Pz4lbRTdVCNJXf31yVtQYlHBZh0wGLt839_IlhX8kROyOQBwLDaobjDkXHG_r6p9_gJe9-649fJWK0dM8sMpP7nA.CuCugs27SxZUmaicLPvenc3BLrGI9FuEhcjxjFNZtVw%26dib_tag%3Dse%26keywords%3Diphone%2B15%26qid%3D1776886552%26sr%3D8-1-spons%26aref%3DbW6uEpOBEL%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&aref=bW6uEpOBEL&sp_cr=ZAZ#customerReviews
Apple,https://www.amazon.in/Apple-iPhone-15-128-GB/dp/B0CHX2F5QT/ref=sr_1_3?dib=eyJ2IjoiMSJ9.juY6hD41eUov1TuU99StMpp7VWn5nt4WirUdpgI4iozy4Ow_MSBU0qHoC2-Gv_l7J0to3J83BsveqO3aHK8ZlBdPNred7eSYBe25X2JOBYV_ymI81ftJAyMOh7NcN9xk8SbEfQFem4kTDeY2550Pz4lbRTdVCNJXf31yVtQYlHBZh0wGLt839_IlhX8kROyOQBwLDaobjDkXHG_r6p9_gJe9-649fJWK0dM8sMpP7nA.CuCugs27SxZUmaicLPvenc3BLrGI9FuEhcjxjFNZtVw&dib_tag=se&keywords=iphone+15&qid=1776886552&sr=8-3,Amazon,https://m.media-amazon.com/images/I/71d7rfSl0wL._SX679_.jpg,59900,5.0,https://www.amazon.in/product-reviews/B0CHX2F5QT?sortBy=recent
Apple,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo2MjQ0OTA4MzMwNzE0NjQ6MTc3Njg4NjU1MjpzcF9hdGY6MzAwNzE0MTI5MDI0ODMyOjowOjo&url=%2FiPhone-Pro-256-Promotion-Breakthrough%2Fdp%2FB0FQG9FPFJ%2Fref%3Dsr_1_2_sspa%3Fdib%3DeyJ2IjoiMSJ9.juY6hD41eUov1TuU99StMpp7VWn5nt4WirUdpgI4iozy4Ow_MSBU0qHoC2-Gv_l7J0to3J83BsveqO3aHK8ZlBdPNred7eSYBe25X2JOBYV_ymI81ftJAyMOh7NcN9xk8SbEfQFem4kTDeY2550Pz4lbRTdVCNJXf31yVtQYlHBZh0wGLt839_IlhX8kROyOQBwLDaobjDkXHG_r6p9_gJe9-649fJWK0dM8sMpP7nA.CuCugs27SxZUmaicLPvenc3BLrGI9FuEhcjxjFNZtVw%26dib_tag%3Dse%26keywords%3Diphone%2B15%26qid%3D1776886552%26sr%3D8-2-spons%26aref%3DNXvMQMV3VU%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&aref=NXvMQMV3VU&sp_cr=ZAZ,Amazon,https://m.media-amazon.com/images/I/61EoCnDyoQL._SX679_.jpg,134900,4.0,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo2MjQ0OTA4MzMwNzE0NjQ6MTc3Njg4NjU1MjpzcF9hdGY6MzAwNzE0MTI5MDI0ODMyOjowOjo&url=%2FiPhone-Pro-256-Promotion-Breakthrough%2Fdp%2FB0FQG9FPFJ%2Fref%3Dsr_1_2_sspa%3Fdib%3DeyJ2IjoiMSJ9.juY6hD41eUov1TuU99StMpp7VWn5nt4WirUdpgI4iozy4Ow_MSBU0qHoC2-Gv_l7J0to3J83BsveqO3aHK8ZlBdPNred7eSYBe25X2JOBYV_ymI81ftJAyMOh7NcN9xk8SbEfQFem4kTDeY2550Pz4lbRTdVCNJXf31yVtQYlHBZh0wGLt839_IlhX8kROyOQBwLDaobjDkXHG_r6p9_gJe9-649fJWK0dM8sMpP7nA.CuCugs27SxZUmaicLPvenc3BLrGI9FuEhcjxjFNZtVw%26dib_tag%3Dse%26keywords%3Diphone%2B15%26qid%3D1776886552%26sr%3D8-2-spons%26aref%3DNXvMQMV3VU%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&aref=NXvMQMV3VU&sp_cr=ZAZ#customerReviews
"iPhone 15. Newphoria
iPhone 15. Newphoria",https://aax-eu-zaz.amazon.in/x/c/JPHsxXmqg_arEKqbdc04KvMAAAGdtrEZiQoAAAH2AQBvbm9fdHhuX2JpZDEgICBvbm9fdHhuX2ltcDIgICAHCfCJ/clv1c_ek-YBHU2arbe3tepZiKzG6DZJ2O5bIdyCdsP3yJFzd7QrFzHeVDSlKJhqsgNFdYRfwCftAEDzrnaheIWqbpIFc1q4Aw264WIXoOxjQw9vUx2g5D7DClgMGtJeBnVp34rw7DfKsX4Pvubb4IztOOMtvH6E9S8l1_84uTw5hYoTY8LbwvNf4AoprixTyibih-X0HZObEDbjifadWV8vk201A67vESdLAV29eyMIF20CCrZNZXfQ0v9lwyuXY9oN7jBRZ_rjppFPWmJGyMqyVm4NmSTz1dGVt4cm_EFKW6efBGrsA7SWu2i7rT9daMpmcZJQXfC7eLXg6NRQVIzFccEdgPQidHAqpJolxsT7fhZp9cBb2XCFpsoEzG2H255SwnFwVn0kGjLl2zKdPmVyG3efQiIh3vJUwxZoM8HvjU3wn4E4qwjie6_xG-ARt4Ttf7tcF-94W8MrIDYZ8Kdie2QK9Jlama5DFpi0h4sidYxQ08Cl_VtVWh3LffIyPGM-MXj1c3bNdxrC0U5zI3wCx7pSF4M0dQB4iE3osN1yzW4PkDAXzWqvUxxDMU8fEj4fFERpk3FXWqAncyi9q2bAY1u1SJNRsckoyavzOrQG51mpOq0gqCQAm5ySidlzmvR86fTHLsn6vL3d137CWmDPfv0cWR0HnZ5ON2RAVZJxNfNB5qmRBMW2U_tTozv1a6Mvc0PwoYhUrsB4LGkuhK0C1YPARQgEwctuUckXMH8An6pdEaCGvI1pUZpt8mGzvBfooCd6KUUp7C4LNvFMEKt-SkD0vqGbEwVo2kxhZQPwRL4QCusWdzzMPANnwwJRd5qqbpPk798vG-EHxTe8R9Enk7dI0odzI0ycE75aekL_9ixvPd971qGjuPLEbC3hDPQosQKoF1moX8xE1EkXddBxryeD2YuczOsmeOvkp2w9f5K2pa8r04Aj_gClDvrOFtAt85wv24KObHVwRZNwPsCugixDjE6J6KtiUXO-4t726p0qbFN0iHacQudMHOCDLSQc_xECBgN9kK1P6X3Kb50ka1LZx-ycy1dJAoduG-KicOUEZ4hE1oRC_ykOaHU6oFg7nKo7-xzG0GLddTRHSiqKB0v7qcQLT_70CS1MTyzjuHufAy73_z6ZV4zlLkYY2Hs5NfKNGfzBAyQVJXocych7ELiAdxMtOCulMSm2_OuZ9CKlZgXrsCfly6Znh5bxA5_i7nQGkm-SsIgfotE_nismsNja54ZZbYf339q4SqE52eu4qHdYvlFyphjyMoPikImpi9RhSzjvs88A3bqRAhfHr2K9EeNmsWUE9fRNyrI0obzJS58Vfw_nBVFTzajm_KKdrY4khm2QUwULIu9SXOgwhcDv1p0wbGmsPbBm5swQlCmMyngQPpqjFA-JFINTEOPTZstp7xDMjRdq-pbn4cu799wKfPMF7MAtvqn35E8HorNI9IhyJi_E-OihNDfgTOzJF7Bz5O-Z6VW3LSotNsNkMExuPDdJ-A5rPQkH1opRdgBf1L_Qr_1Lju8osPyI74Z2yFjTFpY9cgnPYGYwJ9vVQ2NG6eKM1IOnVwwOlWdnJFtK3gjWNQm77tc54S7yIp5TuyplSbrHDwLcSPpGAcWvyoSCSBb-Dq3bVugrz8dItqwN4vBfEA3FFxchIvLN-zZcBPeKUTN0Z1nkpu65XmU_E0IQlWM578/https://www.amazon.in/stores/page/9505ACAA-EF13-4AE6-AB5E-F14749A7822E/?_encoding=UTF8&store_ref=SB_A07238331WIA35PCKI3BN-A0896911WL2Y1NGL6KS8&pd_rd_plhdr=t&aaxitk=2daa504300ab4b0e8f96efbc91b5c388&hsa_cr_id=0&lp_asins=B0CHX2WQLX&lp_query=iphone%2015&lp_slot=auto-sparkle-hsa-tetris&aref=OJQANVIoeN&ref_=sbx_be_s_sparkle_dlcd_bkgd&pd_rd_w=Fmbh6&content-id=amzn1.sym.9269eab1-ae85-443b-9ec2-b2fa4ebaad05%3Aamzn1.sym.9269eab1-ae85-443b-9ec2-b2fa4ebaad05&pf_rd_p=9269eab1-ae85-443b-9ec2-b2fa4ebaad05&pf_rd_r=89K3WDGZ304QM387T2X1&pd_rd_wg=a7mLC&pd_rd_r=125b4711-4169-4fcd-8719-a91d78c97789,Amazon,,0,6.0,https://aax-eu-zaz.amazon.in/x/c/JPHsxXmqg_arEKqbdc04KvMAAAGdtrEZiQoAAAH2AQBvbm9fdHhuX2JpZDEgICBvbm9fdHhuX2ltcDIgICAHCfCJ/clv1c_ek-YBHU2arbe3tepZiKzG6DZJ2O5bIdyCdsP3yJFzd7QrFzHeVDSlKJhqsgNFdYRfwCftAEDzrnaheIWqbpIFc1q4Aw264WIXoOxjQw9vUx2g5D7DClgMGtJeBnVp34rw7DfKsX4Pvubb4IztOOMtvH6E9S8l1_84uTw5hYoTY8LbwvNf4AoprixTyibih-X0HZObEDbjifadWV8vk201A67vESdLAV29eyMIF20CCrZNZXfQ0v9lwyuXY9oN7jBRZ_rjppFPWmJGyMqyVm4NmSTz1dGVt4cm_EFKW6efBGrsA7SWu2i7rT9daMpmcZJQXfC7eLXg6NRQVIzFccEdgPQidHAqpJolxsT7fhZp9cBb2XCFpsoEzG2H255SwnFwVn0kGjLl2zKdPmVyG3efQiIh3vJUwxZoM8HvjU3wn4E4qwjie6_xG-ARt4Ttf7tcF-94W8MrIDYZ8Kdie2QK9Jlama5DFpi0h4sidYxQ08Cl_VtVWh3LffIyPGM-MXj1c3bNdxrC0U5zI3wCx7pSF4M0dQB4iE3osN1yzW4PkDAXzWqvUxxDMU8fEj4fFERpk3FXWqAncyi9q2bAY1u1SJNRsckoyavzOrQG51mpOq0gqCQAm5ySidlzmvR86fTHLsn6vL3d137CWmDPfv0cWR0HnZ5ON2RAVZJxNfNB5qmRBMW2U_tTozv1a6Mvc0PwoYhUrsB4LGkuhK0C1YPARQgEwctuUckXMH8An6pdEaCGvI1pUZpt8mGzvBfooCd6KUUp7C4LNvFMEKt-SkD0vqGbEwVo2kxhZQPwRL4QCusWdzzMPANnwwJRd5qqbpPk798vG-EHxTe8R9Enk7dI0odzI0ycE75aekL_9ixvPd971qGjuPLEbC3hDPQosQKoF1moX8xE1EkXddBxryeD2YuczOsmeOvkp2w9f5K2pa8r04Aj_gClDvrOFtAt85wv24KObHVwRZNwPsCugixDjE6J6KtiUXO-4t726p0qbFN0iHacQudMHOCDLSQc_xECBgN9kK1P6X3Kb50ka1LZx-ycy1dJAoduG-KicOUEZ4hE1oRC_ykOaHU6oFg7nKo7-xzG0GLddTRHSiqKB0v7qcQLT_70CS1MTyzjuHufAy73_z6ZV4zlLkYY2Hs5NfKNGfzBAyQVJXocych7ELiAdxMtOCulMSm2_OuZ9CKlZgXrsCfly6Znh5bxA5_i7nQGkm-SsIgfotE_nismsNja54ZZbYf339q4SqE52eu4qHdYvlFyphjyMoPikImpi9RhSzjvs88A3bqRAhfHr2K9EeNmsWUE9fRNyrI0obzJS58Vfw_nBVFTzajm_KKdrY4khm2QUwULIu9SXOgwhcDv1p0wbGmsPbBm5swQlCmMyngQPpqjFA-JFINTEOPTZstp7xDMjRdq-pbn4cu799wKfPMF7MAtvqn35E8HorNI9IhyJi_E-OihNDfgTOzJF7Bz5O-Z6VW3LSotNsNkMExuPDdJ-A5rPQkH1opRdgBf1L_Qr_1Lju8osPyI74Z2yFjTFpY9cgnPYGYwJ9vVQ2NG6eKM1IOnVwwOlWdnJFtK3gjWNQm77tc54S7yIp5TuyplSbrHDwLcSPpGAcWvyoSCSBb-Dq3bVugrz8dItqwN4vBfEA3FFxchIvLN-zZcBPeKUTN0Z1nkpu65XmU_E0IQlWM578/https://www.amazon.in/stores/page/9505ACAA-EF13-4AE6-AB5E-F14749A7822E/?_encoding=UTF8&store_ref=SB_A07238331WIA35PCKI3BN-A0896911WL2Y1NGL6KS8&pd_rd_plhdr=t&aaxitk=2daa504300ab4b0e8f96efbc91b5c388&hsa_cr_id=0&lp_asins=B0CHX2WQLX&lp_query=iphone%2015&lp_slot=auto-sparkle-hsa-tetris&aref=OJQANVIoeN&ref_=sbx_be_s_sparkle_dlcd_bkgd&pd_rd_w=Fmbh6&content-id=amzn1.sym.9269eab1-ae85-443b-9ec2-b2fa4ebaad05%3Aamzn1.sym.9269eab1-ae85-443b-9ec2-b2fa4ebaad05&pf_rd_p=9269eab1-ae85-443b-9ec2-b2fa4ebaad05&pf_rd_r=89K3WDGZ304QM387T2X1&pd_rd_wg=a7mLC&pd_rd_r=125b4711-4169-4fcd-8719-a91d78c97789#customerReviews
